query	alternative query	main passage	citation
亲子沟通的内涵是什么		"“沟通”在英语当中是“communication”，指的是人与人、人与群体之间知识、事实、信念、意见、情感、态度等的传递、接收和反馈的过程，以求达成一致，注重信息交流的双向性和互动性。孟育群（1998）认为亲子沟通是指父母与子女之间的言语和非言语沟通——运用眼神、表情或身体动作来表达、传递双方的意见、情感和态度等信息的心理沟通过程。在 Ritchie（1988）的研究中，将“亲子沟通”写为“Family communication”。刘宁（2005）认为亲子沟通是亲子互动的一种内在运行机制，指家庭成员（主要是父母—子女）之间资料、信念、思想和情感态度的交流，以求亲子双方能够达成一致，互相理解、信任与合作的过程。
"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019.
"
亲子沟通模式的种类		Olson 将亲子沟通模式分为两种，即沟通的开放性和沟通的问题性。沟通的开放性是指亲子之间坦诚地交换彼此的想法和感受，沟通的问题性是指亲子双方不轻易向对方坦露真实想法，不愿意与对方交流。	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019.
"
亲自沟通模式的种类2		Mcleod 和 Chaffee 认为亲子之间的沟通存在稳定的倾向和模式，并据此提出了划分亲子沟通类型的两个基本维度：关系定向（Socio-orientation communication）和观念定向（Concept orientation communication）。关系定向的沟通方式注重青少年与父母的关系，维护父母的权威，对父母的言论保持绝对的服从；观念定向的沟通方式则强调家庭成员之间要讨论问题本身，父母鼓励孩子提出不同的观点，发表自己的意见和看法。Ritchie 更进一步地解释了这两个维度，关系定向的沟通方式意味着父母运用权力强化儿童服从父母的外显行为，观念定向的沟通方式意味着父母鼓励子女开放地表达和交流。Ritchie 还据此提出了四种亲子沟通的类型，分别是多元型、保护型、放任型和一致型。多元型亲子沟通模式注重和子女的沟通交流，很少对子女施压；保护型亲	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
亲子沟通的内容有什么特点	孩子和父母聊什么	"亲子沟通内容的研究。亲子沟通内容指的是亲子交流的话题范围。国外的研究
（Youniss & Smollar，1985）发现，青少年与父母讨论的话题包括家庭、学校、与朋
友的相处等；Noller 等人的研究发现，青少年只是偶尔和母亲讨论学校的情况、朋
友、闲暇时间等，而很少会与父母讨论一些敏感性的话题，例如性、饮酒、毒品等。
国内的研究（范艳，2006）认为青少年与父母的沟通内容包含：学习成绩、电脑电
视、交友、消费、日常的衣食住行、业余爱好等等。
"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
积极的亲子沟通如何影响孩子	青少年如何从亲子沟通中受益	"亲子沟通作用的研究。Masselam 的研究结果表明，良好的亲子沟通与子女的学
业成绩呈正相关。Noller 等人的研究指出良好的亲子沟通能帮助青少年获得独立的
感觉。Brage 等人的研究显示，良好的亲子沟通与青少年的自尊水平呈正相关。Collins
等人研究则发现，良好的亲子沟通与青少年的心理健康水平呈正相关。Hartos 等人
的研究证明，亲子沟通和青少年的适应与发展紧密相关。在亲子沟通方式良好的家
庭中，父母对青少年的控制相对较少，冲突发生频率也较低，青少年更加重视亲子
双方交流的信息，能敏感地捕获家庭成员的思想感情和需要，加强对自身的认同感
和对家庭的归属感，促使青少年形成正确的世界观和价值观，从而更好地促进青少
年的个性发展，他们能更好地适应社会的发展、应对社会的挑战。"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
初中生的自尊有什么特点		"初中生自尊发展的特点研究。初中生自尊总的特点是不稳定的（杨丽珠，1996；
黄煌峰、莫雷，1998），即初中生容易获得自尊的满足，也容易自暴自弃。初中生自
尊的年龄特点是呈下降趋"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
影响初中生自尊的因素	什么会影响初中生的自尊	"自尊的影响因素研究。影响自尊的形成与发展的因素主要有个人因素、家庭因素、学校因素、社会文化因素等。个人因素如性别、年龄、应对方式，自尊与解决问题的应对方式呈显著的正相关（赵荣霞，2002）；家庭因素如父母教养方式（程学超、谷传华，2001）、父母文化程度（钱铭怡、肖广兰，1998；魏运华，1997）等，“温暖、理解”的教养方式会提升自尊水平，父母文化程度与子女的自尊水平呈正相关；学校因素如师生关系（梁兵，1993）、同伴关系（魏运华，1998）、学业成绩（魏运华，1997）等，师生关系满意度、同伴接受程度、学业成绩均与自尊呈正相关；社会文化因素如跨文化因素（L.H.Chiu，1993）、城乡因素（张文新，1997）等。本研究的“亲子沟通”变量正是家庭因素之一。
"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
孩子自尊的重要性	为什么自尊对孩子很重要	"。Solomon 和 Greenberg 等人（1991）提出自尊的恐惧管理理论，
认为自尊是缓解人类与生俱来的死亡焦虑，是一种“焦虑缓解器”。 Leary（2000）
提出自尊的社会计量器理论，认为人类有一种与他人、社会保持联系的天性，自尊
就是人类保持人际关系的一种主观度量。张林（2004）据其所提出的自尊的“倒立
金字塔”模型结构理论，去分析自尊的功能，主要有：驱动性功能、发展性功能和
调节性功能。个体的潜在自尊为其提供从事某种工作的动力，个体的社会自尊促进
人的社会性发展，个体的元自尊引导自我追求的方向，协调现实我和理想我的关系。
"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
亲子沟通如何影响孩子的自尊	亲子沟通对孩子自尊的影响	"有研究（房超，2003；方晓义等，2006）认为，良好的亲子沟通与自尊成正相
关，问题性亲子沟通与自尊成负相关。后来，学者陈丽和刘艳（2012）研究流动儿
童的亲子沟通，结果发现：亲子沟通的不同维度均能正向预测其自尊。有研究者还
在研究中（邓林园，马博辉，武永新，2015）发现：亲子依恋水平越高，初中生的
自尊水平也就越高。亲子依恋和亲子沟通是亲子关系的不同方面，故可以为亲子沟
通和自尊的关系研究提供一些依据。金文凤（2017）的研究更是发现，亲子沟通能
够通过集体自尊和个体自尊的链式中介作用影响主观幸福感，故可尝试将自尊作为
"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
亲子沟通对孩子坚韧人格的影响	亲子沟通如何影响孩子的坚韧人格	"何洁（2014）的研究表明，大学生父母教养方式中的父亲情感温暖、母亲情感
温暖两个维度和坚韧性人格的总分及其韧性、投入、控制、挑战四个维度均呈现显
著相关。父母教养方式是父母教育观念和教育行为的综合体现，而亲子沟通必定是
父母教养方式的题中之义。因此，可以推测亲子沟通与坚韧人格之间有显著相关"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
年级上的差异和亲子沟通	年级上的差异如何影响亲子沟通	"初中生亲子沟通总分及其各维度在学生年级上均存在显著差异，而且初一学生
在总得分上要显著高于初二学生，初一、初三学生在观念定向维度得分要显著高于
初二学生，初二学生在关系定向维度得分要显著高于初一、初三学生。初中生的独
立意识逐渐增强，很多孩子出现心理叛逆，不愿意与父母交流，这种叛逆在初二时
期表现得尤为严重。因为初一是刚从小学步入初中的新阶段，初一学生会比初二学
生对父母的依赖性更强，且亲子之间可沟通的话题（如新学校、新朋友、学业问题
等）也较初二学生更多，因此初一的亲子沟通得分会显著高于初二。再而，初三是
学业压力繁重的阶段，父母可能需要帮助孩子疏导学业压力，孩子需要从父母获得
方向指导，亲子之间能够互相交流信息和感情需要，因此初一、初三学生在观念定
向的得分会显著高于初二学生；而家长们在对初二学生的沟通方式上，常常拿出父
母的权威来“镇压”孩子的叛逆气焰，因此在关系定向维度上，初二学生会显著高于
初一、初三的学生。
"	"[1]魏美丹. 初中生亲子沟通与生活满意度的关系[D].福建师范大学,2019."
